County,PSN,Delegates to County Convention,SDE,Long Name,Unplaced County,Unplaced Precinct
Black Hawk,X201,4,0.808,CF W2 P1,Black Hawk,
Black Hawk,X202,14,2.828,CF W2 P2 &amp; CF Twp,Black Hawk,
Black Hawk,X203,19,3.838,CF W2 P3,Black Hawk,
Black Hawk,X301,10,2.02,CF W3 P1,Black Hawk,
Black Hawk,X302,14,2.828,CF W3 P2,Black Hawk,
Black Hawk,X303,9,1.818,CF W3 P3,Black Hawk,
Black Hawk,X401,13,2.626,CF W4 P1,Black Hawk,
Black Hawk,X402,10,2.02,CF W4 P2,Black Hawk,
Black Hawk,X403,9,1.818,CF W4 P3,Black Hawk,
Black Hawk,X501,13,2.626,CF W5 P1,Black Hawk,
Black Hawk,X502,13,2.626,CF W5 P2,Black Hawk,
Black Hawk,X503,11,2.222,CF W5 P3,Black Hawk,
Boone,BN1,9,1.71,Boone 1st Ward,Boone,
Boone,BN2,10,1.9,Boone 2nd Ward,Boone,
Boone,BN3,10,1.9,Boone 3rd Ward,Boone,
Boone,BN4,12,2.28,Boone 4th Ward,Boone,
Boone,BN5,10,1.9,Boone 5th Ward,Boone,
Boone,MD1,4,0.76,Madrid 1st Ward,Boone,
Boone,MD2,4,0.76,Madrid 2nd Ward,Boone,
Boone,MD3,3,0.57,Madrid 3rd Ward,Boone,
Boone,OG,7,1.33,Ogden,Boone,
Boone,RP1,5,0.95,Rural Precinct 1,Boone,
Boone,RP2,7,1.33,Rural Precinct 2,Boone,
Boone,RP3,3,0.57,Rural Precinct 3,Boone,
Boone,RP4,7,1.33,Rural Precinct 4,Boone,
Boone,RP5,3,0.57,Rural Precinct 5,Boone,
Boone,RP6,6,1.14,Rural Precinct 6,Boone,
Bremer,DV,9,2.04,CITY OF DENVER/JEFFERSON TWP,Bremer,
Bremer,FD,1,0.226666667,CITY OF FREDERIKA- FREDERIKA &amp; LEROY TWP,Bremer,
Bremer,JV,5,1.133333333,CITY OF JANESVILLE/JACKSON TWP,Bremer,
Bremer,LA,4,0.906666667,LAFAYETTE TWP/WARREN TWPS,Bremer,
Bremer,PL,3,0.68,CITY OF PLAINFIELD/POLK TWP/DOUGLAS TWP,Bremer,
Bremer,RD,4,0.906666667,CITY OF READLYN- MAXFIELD &amp; FRANKLIN TWP,Bremer,
Bremer,SU,6,1.36,CITY OF SUMNER/SUMNER TWP/DAYTON TWP,Bremer,
Bremer,TR,5,1.133333333,CITY OF TRIPOLI/FREMONT,Bremer,
Bremer,WL1,9,2.04,WAVERLY WARD I/E WASHINGTON TWP,Bremer,
Bremer,WL2,7,1.586666667,WAVERLY WARD II/NE 1/4 SEC 36 WASHINGTON TWP,Bremer,
Bremer,WL3,5,1.133333333,WAVERLY WARD III,Bremer,
Bremer,WL4,8,1.813333333,WAVERLY WARD IV,Bremer,
Bremer,WL5,9,2.04,WAVERLY WARD V/W WASHINGTON TWP,Bremer,
Buchanan,AR,5,0.684210526,Aurora,Buchanan,
Buchanan,BD,4,0.547368421,Brandon,Buchanan,
Buchanan,FB,5,0.684210526,Fairbank,Buchanan,
Buchanan,HT,4,0.547368421,Hazleton,Buchanan,
Buchanan,I1,12,1.642105263,Independence 1st Ward,Buchanan,
Buchanan,I2,6,0.821052632,Independence 2nd Ward,Buchanan,
Buchanan,I3,9,1.231578947,Independence 3rd Ward,Buchanan,
Buchanan,I4,6,0.821052632,Independence 4th Ward,Buchanan,
Buchanan,I5,6,0.821052632,Independence 5th Ward,Buchanan,
Buchanan,JS,11,1.505263158,Jesup,Buchanan,
Buchanan,MN,3,0.410526316,Middlefield-Newton,Buchanan,
Buchanan,PW,6,0.821052632,Perry-Westburg,Buchanan,
Buchanan,QT,6,0.821052632,Quasqueton,Buchanan,
Buchanan,RW,5,0.684210526,Rowley,Buchanan,
Buchanan,WN,7,0.957894737,Winthrop,Buchanan,
Buena Vista,1,7,1.4,STORM LAKE 01,Buena Vista,
Buena Vista,2,4,0.8,STORM LAKE 02,Buena Vista,
Buena Vista,3,7,1.4,STORM LAKE 03,Buena Vista,
Buena Vista,4,8,1.6,STORM LAKE 04,Buena Vista,
Buena Vista,ACFC,2,0.4,ALBERT CITY FAIRFIELD COON,Buena Vista,
Buena Vista,ALNE,5,1,ALTA NOKOMIS ELK,Buena Vista,
Buena Vista,LKHM,3,0.6,LAKESIDE HAYES MAPLE VALLEY,Buena Vista,
Buena Vista,NENP,2,0.4,NEWELL NEWELL PROVIDENCE,Buena Vista,
Buena Vista,S-M-L-R,5,1,SRL;LGB;RELS;MAP,Buena Vista,
Buena Vista,TRWG,2,0.4,TRUESDALE WASHINGTON GRANT,Buena Vista,
Butler,1-GR,10,1.166666667,1-GR,Butler,
Butler,2-CL,11,1.283333333,2-CL,Butler,
Butler,3-DU,4,0.466666667,3-DU,Butler,
Butler,4-AL,4,0.466666667,4-AL,Butler,
Butler,5-AP,5,0.583333333,5-AP,Butler,
Butler,6-SR,11,1.283333333,6-SR,Butler,
Butler,7-PB,10,1.166666667,7-PB,Butler,
Butler,8-NH,5,0.583333333,8-NH,Butler,
Calhoun,BUWM,6,0.5,Butler- Williams,Calhoun,
Calhoun,CEDAR,1,0.083333333,Cedar,Calhoun,
Calhoun,CHJEGLK,15,1.25,Calhoun- Jackson- EG- LK,Calhoun,
Calhoun,CNLGTGA,5,0.416666667,Center- Logan- TL- GA- L,Calhoun,
Calhoun,GREENFI,2,0.166666667,Greenfield &amp; Lincoln 2,Calhoun,
Calhoun,LINCOLN,10,0.833333333,Lincoln 1,Calhoun,
Calhoun,READING,3,0.25,Reading,Calhoun,
Calhoun,ROCKWEL,13,1.083333333,Rockwell City,Calhoun,
Calhoun,SHERMAN,3,0.25,Sherman,Calhoun,
Calhoun,UNION,2,0.166666667,Union,Calhoun,
Carroll,1,14,1.54,,Carroll,Arcadia
Carroll,2,18,1.98,,Carroll,Carroll Ward Four
Carroll,3,13,1.43,,Carroll,Carroll Ward One
Carroll,4,13,1.43,,Carroll,Carroll Ward Three &amp;amp; S1/2 Maple River Twp
Carroll,5,4,0.44,,Carroll,Carroll Ward Two &amp;amp; N1/2 Maple River Twp
Carroll,6,5,0.55,,Carroll,Eden
Carroll,7,2,0.22,,Carroll,Ewoldt
Carroll,8,7,0.77,,Carroll,Glidden-Richland
Carroll,9,4,0.44,,Carroll,Pleasant Valley-Newton
Carroll,10,3,0.33,,Carroll,Sheridan-Grant-Jasper
Carroll,11,8,0.88,,Carroll,Union
Carroll,12,2,0.22,,Carroll,Washington-Roselle
Carroll,13,7,0.77,,Carroll,Wheatland-Kniest
Cass,AN,6,0.72,,Cass,
Cass,AT1,4,0.48,Atlantic 1,Cass,
Cass,AT2,5,0.6,Atlantic 2,Cass,
Cass,AT3,5,0.6,Atlantic 3,Cass,
Cass,AT4,6,0.72,Atlantic 4,Cass,
Cass,AT5,6,0.72,Atlantic 5,Cass,Bear Grove- Cass Twp/Lewis
Cass,BN,2,0.24,Benton- Franklin Twp/Wiota,Cass,
Cass,CU,1,0.12,Union Twp/Cumberland,Cass,Brighton- Grove- Pymosa- Washington Twp/Marne
Cass,GS,5,0.6,,Cass,
Cass,LW,3,0.36,,Cass,Grant- Lincoln Twp/Anita
Cass,MR,4,0.48,,Cass,Massena Twp/Massena City
Cass,MS,2,0.24,,Cass,Noble- Pleasant Twp/Griswold
Cass,VI,1,0.12,Enda- Victoria Twp,Cass,
Cedar,CN,8,1.371428571,CASS/CENTER/IOWA/ROCHESTER,Cedar,
Cedar,DA,4,0.685714286,DAYTON/FAIRFIELD,Cedar,
Cedar,FM,8,1.371428571,FARMINGTON/SUGAR CREEK,Cedar,
Cedar,FR,3,0.514285714,FREMONT/RED OAK,Cedar,
Cedar,GW,7,1.2,GOWER/SPRINGDALE,Cedar,
Cedar,IN,2,0.342857143,INLAND,Cedar,
Cedar,LN,7,1.2,LINN/PIONEER,Cedar,
Cedar,MA,4,0.685714286,MASSILLON/SPRINGFIELD,Cedar,
Cedar,TT1,4,0.685714286,TIPTON 1,Cedar,
Cedar,TT2,4,0.685714286,TIPTON 2,Cedar,
Cedar,TT3,5,0.857142857,TIPTON 3,Cedar,
Cedar,WB1,14,2.4,WEST BRANCH 1,Cedar,
Cerro Gordo,CL,7,1.24,Clear Lake - Grant - Union,Cerro Gordo,
Cerro Gordo,CL1,9,1.594285714,Clear Lake - Ward 1,Cerro Gordo,
Cerro Gordo,CL2,11,1.948571429,Clear Lake - Ward 2,Cerro Gordo,
Cerro Gordo,CL3,9,1.594285714,Clear Lake - Ward 3,Cerro Gordo,
Cerro Gordo,FLN,2,0.354285714,,Cerro Gordo,Falls - Plymouth Pct
Cerro Gordo,FLS,1,0.177142857,,Cerro Gordo,Falls - Rock Falls Pct
Cerro Gordo,GME,1,0.177142857,,Cerro Gordo,
Cerro Gordo,GMW,1,0.177142857,,Cerro Gordo,Grimes - Meservey Pct
Cerro Gordo,GN,5,0.885714286,Geneseo Twp Pct,Cerro Gordo,Grimes - Thornton Pct
Cerro Gordo,LCN,2,0.354285714,Lake / Lincoln Twps Pct,Cerro Gordo,
Cerro Gordo,LK,2,0.354285714,Lime Creek / Mason N Twps,Cerro Gordo,
Cerro Gordo,MC W1P1,8,1.417142857,Mason City W-1 P-1,Cerro Gordo,
Cerro Gordo,MC W1P2,10,1.771428571,Mason City W-1 P-2,Cerro Gordo,
Cerro Gordo,MC W1P3,11,1.948571429,Mason City W-1 P-3,Cerro Gordo,
Cerro Gordo,MC W2P1,7,1.24,Mason City W-2 P-1,Cerro Gordo,
Cerro Gordo,MC W2P2,13,2.302857143,Mason City W-2 P-2,Cerro Gordo,
Cerro Gordo,MC W2P3,8,1.417142857,Mason City W-2 P-3,Cerro Gordo,
Cerro Gordo,MC W3P1,11,1.948571429,Mason City W-3 P-1,Cerro Gordo,
Cerro Gordo,MC W3P2,8,1.417142857,Mason City W-3 P-2,Cerro Gordo,
Cerro Gordo,MC W3P3,14,2.48,Mason City W-3 P-3,Cerro Gordo,
Cerro Gordo,MC W4P1,8,1.417142857,Mason City W-4 P-1,Cerro Gordo,
Cerro Gordo,MC W4P2,9,1.594285714,Mason City W-4 P-2,Cerro Gordo,
Cerro Gordo,MC W4P3,11,1.948571429,Mason City W-4 P-3,Cerro Gordo,
Cerro Gordo,MSB,2,0.354285714,Mason S / Bath Twps,Cerro Gordo,
Cerro Gordo,MV,2,0.354285714,Mt Vernon - Pl Valley Twps,Cerro Gordo,
Cerro Gordo,POD,3,0.531428571,Portland - Owen - Dougherty,Cerro Gordo,
Cherokee,1 AUR,8,0.872727273,#1 Aurelia,Cherokee,
Cherokee,2 CLEG,9,0.981818182,#2 Cleghorn,Cherokee,
Cherokee,3 QUIM,5,0.545454545,#3 Quimby,Cherokee,
Cherokee,4 CHER,6,0.654545455,#4 Cherokee,Cherokee,
Cherokee,5 CH W1,10,1.090909091,#5 Cherokee Ward 1,Cherokee,
Cherokee,6 CH W2,7,0.763636364,#6 Cherokee Ward 2,Cherokee,
Cherokee,7 CH W3,10,1.090909091,#7 Cherokee Ward 3,Cherokee,
Chickasaw,BD,18,1.26,Bradford,Chickasaw,
Chickasaw,CH,4,0.28,Chickasaw,Chickasaw,
Chickasaw,DA-RD,4,0.28,Dayton-Richland,Chickasaw,
Chickasaw,DF-W2,6,0.42,Deerfield-Washington 2,Chickasaw,
Chickasaw,DS-FB,12,0.84,Dresden-Fredericksburg,Chickasaw,
Chickasaw,JA-UT,4,0.28,Jacksonville-Utica,Chickasaw,
Chickasaw,NH1,9,0.63,City of New Hampton Ward One,Chickasaw,
Chickasaw,NH2,7,0.49,City of New Hampton Ward Two,Chickasaw,
Chickasaw,NH3,10,0.7,City of New Hampton Ward Three,Chickasaw,
Chickasaw,NH4,10,0.7,City of New Hampton Ward Four,Chickasaw,
Chickasaw,NHR,5,0.35,New Hampton Rural,Chickasaw,
Chickasaw,ST,8,0.56,Stapleton,Chickasaw,
Chickasaw,WA1,3,0.21,Washington 1 Township,Chickasaw,
Clarke,MDL,6,0.48,Middle Precinct,Clarke,
Clarke,MY,6,0.48,Murray Precinct,Clarke,
Clarke,NE,9,0.72,North East Precinct,Clarke,
Clarke,OC1,8,0.64,Osceola 1st Ward Precinct,Clarke,
Clarke,OC2,8,0.64,Osceola 2nd Ward Precinct,Clarke,
Clarke,OC3,10,0.8,Osceola 3rd Ward Precinct,Clarke,
Clarke,WB,3,0.24,Woodburn Precinct,Clarke,
Clay,DGPE,3,0.282352941,Douglas-Peterson,Clay,
Clay,GFHD,2,0.188235294,Garfield-Herdland,Clay,
Clay,LAFR,3,0.282352941,Lake-Freeman,Clay,
Clay,LGGG,2,0.188235294,Logan-Gillett Grove,Clay,
Clay,LNCL,4,0.376470588,Lincoln-Clay,Clay,
Clay,SP1,10,0.941176471,Spencer Ward 1,Clay,
Clay,SP2,12,1.129411765,Spencer Ward 2,Clay,
Clay,SP3,12,1.129411765,Spencer Ward 3,Clay,
Clay,SP4,13,1.223529412,Spencer Ward 4,Clay,
Clay,SP5,13,1.223529412,Spencer Ward 5,Clay,
Clay,SRSM,7,0.658823529,Summit-Riverton-Sioux-Meadow,Clay,
Clay,WFLT,4,0.376470588,Waterford-Lone Tree,Clay,
Clayton,BM-HI,9,1.5,BOARDMAN-HIGHLAND,Clayton,
Clayton,BV,1,0.166666667,BUENA VISTA,Clayton,
Clayton,CC-SY,3,0.5,COX CREEK-SPERRY,Clayton,
Clayton,CL-GV,4,0.666666667,CLAYTON-GARNAVILLO,Clayton,
Clayton,CS,5,0.833333333,CASS,Clayton,
Clayton,ELMYVO,3,0.5,ELK-MALLORY-VOLGA,Clayton,
Clayton,FB-WG,3,0.5,FARMERSBURG-WAGNER,Clayton,
Clayton,GDLUMO,7,1.166666667,GIARD-LUANA-MONONA,Clayton,
Clayton,GM,1,0.166666667,GRAND MEADOW,Clayton,
Clayton,JF-MV,12,2,JEFFERSON-MILLVILLE,Clayton,
Clayton,LM,2,0.333333333,LODOMILLO,Clayton,
Clayton,MN,8,1.333333333,MENDON,Clayton,
Clayton,MR,1,0.166666667,MARION,Clayton,
Clayton,RD,1,0.166666667,READ,Clayton,
Clinton,BBRD,3,0.664285714,BLOOMFIELD BROOKFIELD DEL,Clinton,
Clinton,CAM1,8,1.771428571,CAMANCHE 1,Clinton,
Clinton,CAM2,7,1.55,CAMANCHE 2,Clinton,
Clinton,CENT,1,0.221428571,CENTER TWP,Clinton,
Clinton,CL11,7,1.55,CLINTON 1-1,Clinton,
Clinton,CL12,9,1.992857143,CLINTON 1-2,Clinton,
Clinton,CL21,7,1.55,CLINTON 2-1,Clinton,
Clinton,CL22,12,2.657142857,CLINTON 2-2,Clinton,
Clinton,CL31,10,2.214285714,CLINTON 3-1,Clinton,
Clinton,CL32,12,2.657142857,CLINTON 3-2,Clinton,
Clinton,CL41,10,2.214285714,CLINTON 4-1,Clinton,
Clinton,CL42,10,2.214285714,CLINTON 4-2,Clinton,
Clinton,DCGL,2,0.442857143,DEEP CREEK GOOSE LAKE,Clinton,
Clinton,DEW1,8,1.771428571,DEWITT 1,Clinton,
Clinton,DEW2,10,2.214285714,DEWITT 2,Clinton,
Clinton,DEWT,4,0.885714286,DEWITT TWP,Clinton,
Clinton,EDCM,1,0.221428571,EDEN CAMANCHE TWP,Clinton,
Clinton,ERHA,4,0.885714286,ELK RIVER HAMPSHIRE ANDOV,Clinton,
Clinton,LBTO,1,0.221428571,LIBERTY TORONTO,Clinton,
Clinton,LOMO,1,0.221428571,LOW MOOR,Clinton,
Clinton,OGCA,2,0.442857143,OLIVE GRANT CALAMUS,Clinton,
Clinton,ORGM,3,0.664285714,ORANGE GRAND MOUND,Clinton,
Clinton,SHLN,1,0.221428571,SHARON LOST NATION,Clinton,
Clinton,SRWH,3,0.664285714,SPRING ROCK WHEATLAND,Clinton,
Clinton,WFCH,1,0.221428571,WATERFORD CHARLOTTE,Clinton,
Clinton,WWAW,3,0.664285714,WELTON WASHINGTON WELTON,Clinton,
Crawford,CO,2,0.3,Charter Oak,Crawford,
Crawford,D1,6,0.9,Denison Ward 1,Crawford,
Crawford,D2-DT,8,1.2,Denison Ward 2-Denison Twp,Crawford,
Crawford,D3-GR,8,1.2,Denison Ward 3-Goodrich Twp,Crawford,
Crawford,DC-AB,4,0.6,DCAB,Crawford,
Crawford,NE,4,0.6,Northeast,Crawford,
Crawford,SE,5,0.75,Southeast,Crawford,
Crawford,SRK,3,0.45,SRK,Crawford,
Dallas,ADS,2,0.828571429,ADAMS,Dallas,
Dallas,AL1,3,1.242857143,ADEL 1,Dallas,
Dallas,AL2,4,1.657142857,ADEL 2,Dallas,
Dallas,BDM,4,1.657142857,BEAVER / DES MOINES,Dallas,
Dallas,CL5,5,2.071428571,CLIVE 5,Dallas,
Dallas,CL6,6,2.485714286,CLIVE 6,Dallas,
Dallas,COA,2,0.828571429,COLFAX / ADEL,Dallas,
Dallas,DO,1,0.414285714,DESOTO,Dallas,
Dallas,LWL,1,0.414285714,LINCOLN /WASHINGTON /LINN,Dallas,
Dallas,PY1,4,1.657142857,PERRY 1,Dallas,
Dallas,PY2,4,1.657142857,PERRY 2,Dallas,
Dallas,PY3,3,1.242857143,PERRY 3,Dallas,
Dallas,SD,1,0.414285714,SPRING VALLEY / DALLAS,Dallas,
Dallas,SGDC,4,1.657142857,SUGAR GROVE / DALLAS CENTER,Dallas,
Dallas,UN,3,1.242857143,UNION,Dallas,
Dallas,URB13,7,2.9,URBANDALE 13,Dallas,
Dallas,URB14,5,2.071428571,URBANDALE 14,Dallas,
Dallas,URB15,3,1.242857143,URBANDALE 15,Dallas,
Dallas,VM,4,1.657142857,VAN METER,Dallas,
Dallas,WGG,3,1.242857143,WALNUT / GRIMES / GRANT,Dallas,
Dallas,WK1,6,2.485714286,WAUKEE 1,Dallas,
Dallas,WK2,6,2.485714286,WAUKEE 2,Dallas,
Dallas,WK3,7,2.9,WAUKEE 3,Dallas,
Dallas,WK4,5,2.071428571,WAUKEE 4,Dallas,
Dallas,WK5,5,2.071428571,WAUKEE 5,Dallas,
Dallas,WK6,5,2.071428571,WAUKEE 6,Dallas,
Dallas,WM221,8,3.314285714,WEST DES MOINES 221,Dallas,
Dallas,WM222,5,2.071428571,WEST DES MOINES 222,Dallas,
Dallas,WM223,4,1.657142857,WEST DES MOINES 223,Dallas,
Dallas,WM224,1,0.414285714,WEST DES MOINES 224,Dallas,
Dallas,WM225,8,3.314285714,WEST DES MOINES 225,Dallas,
Dallas,WM226,4,1.657142857,WEST DES MOINES 226,Dallas,
Dallas,WM321,5,2.071428571,WEST DES MOINES 321,Dallas,
Dallas,WM322,2,0.828571429,WEST DES MOINES 322,Dallas,
Davis,BF1,16,0.48,Bloomfield Ward 1,Davis,
Davis,BF2,16,0.48,Bloomfield Ward 2,Davis,
Davis,BF3,12,0.36,Bloomfield Ward 3,Davis,
Davis,CN,16,0.48,Central,Davis,
Davis,NE,12,0.36,Northeast,Davis,
Davis,NW,11,0.33,Northwest,Davis,
Davis,SE,10,0.3,Southeast,Davis,
Davis,SW,7,0.21,Southwest,Davis,
Decatur,BL,36,1.694117647,BL/FA/Lamoni,Decatur,
Decatur,BU,4,0.188235294,BU/HA/MO/NB/Davis City/Pleasanton,Decatur,
Decatur,DE,3,0.141176471,DE/Decatur City,Decatur,
Decatur,GG,7,0.329411765,GG/HP/WE/Garden Grove/LeRoy,Decatur,
Decatur,GR,4,0.188235294,GR/RL/Grand River,Decatur,
Decatur,LC,9,0.423529412,FR/LC/Van Wert/Weldon,Decatur,
Decatur,LE,22,1.035294118,CE/ED/Leon,Decatur,
Delaware,ADHG,7,0.525,Adams/Hazel Green,Delaware,
Delaware,CL,5,0.375,Colony,Delaware,
Delaware,DH,7,0.525,Delhi/Delaware Corp,Delaware,
Delaware,DW,6,0.45,Delaware,Delaware,
Delaware,HCEK,9,0.675,Honey Creek/Elk,Delaware,
Delaware,MC1,12,0.9,Manchester Ward 1,Delaware,
Delaware,MC2,14,1.05,Manchester Ward 2,Delaware,
Delaware,MC3,16,1.2,Manchester Ward 3,Delaware,
Delaware,MLPR,12,0.9,Milo/Prairie,Delaware,
Delaware,ONNFBM,13,0.975,Oneida/N Fork/Bremen,Delaware,
Delaware,RLCG,9,0.675,Richland/Coffins Grove,Delaware,
Delaware,SFUN,10,0.75,South Fork/Union,Delaware,
Des Moines,BU1T,6,2.16,PCT 1T,Des Moines,
Des Moines,BU2,7,2.52,PCT 2,Des Moines,
Des Moines,BU3,5,1.8,PCT 3,Des Moines,
Des Moines,BU4,5,1.8,PCT 4,Des Moines,
Des Moines,BU5,5,1.8,PCT 5,Des Moines,
Des Moines,BU6,3,1.08,PCT 6,Des Moines,
Des Moines,BU7,6,2.16,PCT 7,Des Moines,
Des Moines,BU8C,8,2.88,PCT 8,Des Moines,
Des Moines,BU9,7,2.52,PCT 9,Des Moines,
Des Moines,DM,3,1.08,PCT DM,Des Moines,
Des Moines,FM,5,1.8,PCT FM,Des Moines,
Des Moines,HJ,2,0.72,PCT HJ,Des Moines,
Des Moines,MY,4,1.44,PCT MY,Des Moines,
Des Moines,PW,1,0.36,PCT PW,Des Moines,
Des Moines,UNION,2,0.72,PCT UNION,Des Moines,
Des Moines,WB,6,2.16,PCT WB,Des Moines,
Dickinson,PCT 01,5,0.625,Precinct No. 01,Dickinson,
Dickinson,PCT 02,5,0.625,Precinct No. 02,Dickinson,
Dickinson,PCT 03,6,0.75,Precinct No. 03,Dickinson,
